# stock prosemirror-view 1.42.3, http://127.0.0.1:5174/
# tap:240,203;wait:800;spacedrag:0.8,-180,0,60,0.6;wait:600 (paragraph 2, text before the mention)
5346 selectionchange: p text@6  (document position 1)
8831 selectionchange: p text@5  (document position 36)
8997 selectionchange: p text@4  (document position 35)
9162 selectionchange: p text@3  (document position 34)
9312 selectionchange: p text@2  (document position 33)
9478 selectionchange: p text@1  (document position 32)
9639 selectionchange: span.source text@4  (document position 31)
9728 selectionchange: span.source text@3  (document position 30)
9845 selectionchange: span.source text@2  (document position 29)
9997 selectionchange: span.source text@1  (document position 28)
10169 selectionchange: span.source text@0  (document position 27)
10172 selectionchange: p text@6  (document position 26)
10182 selectionchange: span.source text@0  (document position 26)
10183 selectionchange: p text@6  (document position 26)
10198 selectionchange: span.source text@0  (document position 26)
10199 selectionchange: p text@6  (document position 26)
10214 selectionchange: span.source text@0  (document position 26)
10215 selectionchange: p text@6  (document position 26)
10229 selectionchange: span.source text@0  (document position 26)
10231 selectionchange: p text@6  (document position 26)
10246 selectionchange: span.source text@0  (document position 26)
10247 selectionchange: p text@6  (document position 26)
10262 selectionchange: span.source text@0  (document position 26)
10263 selectionchange: p text@6  (document position 26)
10279 selectionchange: span.source text@0  (document position 26)
10280 selectionchange: p text@6  (document position 26)
10295 selectionchange: span.source text@0  (document position 26)
10297 selectionchange: p text@6  (document position 26)
10312 selectionchange: span.source text@0  (document position 26)
10313 selectionchange: p text@6  (document position 26)
10329 selectionchange: span.source text@0  (document position 26)
10330 selectionchange: p text@6  (document position 26)
10345 selectionchange: span.source text@0  (document position 26)
10346 selectionchange: p text@6  (document position 26)
10362 selectionchange: span.source text@0  (document position 26)
10364 selectionchange: p text@6  (document position 26)
10379 selectionchange: span.source text@0  (document position 26)
10380 selectionchange: p text@6  (document position 26)
10395 selectionchange: span.source text@0  (document position 26)
10397 selectionchange: p text@6  (document position 26)
10412 selectionchange: span.source text@0  (document position 26)
10413 selectionchange: p text@6  (document position 26)
10429 selectionchange: span.source text@0  (document position 26)
10430 selectionchange: p text@6  (document position 26)
11535 selectionchange: p text@5  (document position 26)
# selectionchange 45, rewrites span.source text@0 -> p text@6 by the editor: 17
