# patched prosemirror-view (ignoreForSelection), http://127.0.0.1:5175/ (mark view returning ignoreForSelection: true)
# tap:240,203;wait:800;spacedrag:0.8,-180,0,60,0.6;wait:600 (paragraph 2)
5630 selectionchange: p text@6  (document position 1)
9696 selectionchange: p text@5  (document position 36)
9864 selectionchange: p text@4  (document position 35)
10031 selectionchange: p text@3  (document position 34)
10180 selectionchange: p text@2  (document position 33)
10347 selectionchange: p text@1  (document position 32)
10499 selectionchange: span.source text@4  (document position 31)
10599 selectionchange: span.source text@3  (document position 30)
10715 selectionchange: span.source text@2  (document position 29)
10866 selectionchange: span.source text@1  (document position 28)
11033 selectionchange: span.source text@0  (document position 27)
12132 selectionchange: p text@6  (document position 26)
12400 selectionchange: p text@5  (document position 26)
# selectionchange 13, rewrites 0
